Block,Neighborhood,BuildingClassification,TotalUnits,YearBuilt,GrossSqFt,EstGrossIncome,GrossIncomePerSqFt,FullMarketValue,MarketValuePerSqFt
00007,FINANCIAL,R9-CONDOPS,42,1920,36500,1222750,33.5,5810000,159
00015,FINANCIAL,R4-ELEVATOR,282,1930,249076,9464888,38,47500002,191
00016,TRIBECA,R4-ELEVATOR,239,1985,219495,7682325,35,36800005,168
00016,TRIBECA,R4-ELEVATOR,133,1986,139719,4890165,35,23399997,167
00016,TRIBECA,R4-ELEVATOR,109,1985,105000,3675000,35,17600009,168
00016,TRIBECA,R4-ELEVATOR,107,1986,87479,3061765,35,14700006,168
00016,TRIBECA,R4-ELEVATOR,247,1987,255845,8954575,35,42900004,168
00016,TRIBECA,R4-ELEVATOR,121,1985,106129,3714515,35,17799993,168
00016,TRIBECA,R4-ELEVATOR,154,1986,126008,4410280,35,21099999,167
00016,TRIBECA,R4-ELEVATOR,546,1987,586224,20517840,35,98299985,168
00016,TRIBECA,R4-ELEVATOR,182,1988,208281,7289835,35,34899998,168
00016,TRIBECA,R4-ELEVATOR,293,1988,341489,11952115,35,57300016,168
00016,TRIBECA,R4-ELEVATOR,163,1990,156260,5469100,35,26200003,168
00016,TRIBECA,R4-ELEVATOR,117,2003,267723,9370305,35,44900000,168
00016,TRIBECA,R4-ELEVATOR,234,2006,431824,15761576,36.5,77600002,180
00016,TRIBECA,R4-ELEVATOR,304,1985,257848,9024680,35,43199949,168
00017,FINANCIAL,R4-ELEVATOR,13,1920,37236,1303260,35,6240000,168
00018,FINANCIAL,R4-ELEVATOR,452,1956,316810,11088350,35,53099990,168
00026,FINANCIAL,R4-ELEVATOR,382,1914,648926,25308114,39,126999981,196
00027,FINANCIAL,R4-ELEVATOR,107,1836,159544,6222216,39,31199996,196
00028,FINANCIAL,R4-ELEVATOR,126,1987,81884,3029708,37,15199998,186
00029,FINANCIAL,R9-CONDOPS,40,1920,65396,2223464,34,10600000,162
00029,FINANCIAL,R4-ELEVATOR,31,1900,20308,751396,37,3770002,186
00039,FINANCIAL,R4-ELEVATOR,121,1956,109468,3612444,33,17299999,158
00041,FINANCIAL,R4-ELEVATOR,20,1902,39607,1386245,35,6640000,168
00041,FINANCIAL,R4-ELEVATOR,90,1893,73507,2572745,35,12300003,167
00053,FINANCIAL,R4-ELEVATOR,102,1903,71985,2519475,35,10560787,147
00065,FINANCIAL,R9-CONDOPS,29,1920,28550,750000,26.3,3430000,120
00068,FINANCIAL,R4-ELEVATOR,145,1927,186512,7450000,39.9,37399998,201
00072,FINANCIAL,R4-ELEVATOR,14,1982,24362,850000,34.9,4070000,167
00078,FINANCIAL,R9-CONDOPS,11,1900,31738,1100000,34.7,5260000,166
00078,FINANCIAL,R9-CONDOPS,14,1930,17122,620000,36.2,2960000,173
00078,FINANCIAL,R4-ELEVATOR,14,1910,22613,824000,36.4,4130002,183
00078,FINANCIAL,R4-ELEVATOR,73,1909,89994,3275000,36.4,16400003,182
00079,FINANCIAL,R4-ELEVATOR,21,1900,66930,2435000,36.4,12200002,182
00079,FINANCIAL,R4-ELEVATOR,67,1906,66575,2425000,36.4,12200010,183
00090,SOUTHBRIDGE,R4-ELEVATOR,210,1896,196837,6298784,32,28799999,146
00091,SOUTHBRIDGE,R4-ELEVATOR,19,1919,26528,848896,32,4069999,153
00095,SOUTHBRIDGE,R4-ELEVATOR,22,1983,37170,1300000,35,6230001,168
00097,SOUTHBRIDGE,R4-ELEVATOR,18,1900,23044,795000,34.5,3810002,165
00097,SOUTHBRIDGE,R4-ELEVATOR,15,1910,25825,960000,37.2,4560000,177
00097,SOUTHBRIDGE,R4-ELEVATOR,15,1999,20091,742808,37,3530000,176
00100,SOUTHBRIDGE,R4-ELEVATOR,125,1900,168889,5404448,32,25900002,153
00106,SOUTHBRIDGE,R4-ELEVATOR,49,1900,37646,1167000,31,5589997,148
00132,TRIBECA,R4-ELEVATOR,128,1987,115909,4056815,35,19399996,167
00132,TRIBECA,R4-ELEVATOR,133,1987,138016,4830560,35,23100002,167
00132,TRIBECA,R4-ELEVATOR,11,2001,54500,1907500,35,9140000,168
00134,CIVIC CENTER,R4-ELEVATOR,27,1900,59853,1855443,31,8890001,149
00134,CIVIC CENTER,R4-ELEVATOR,75,1930,118046,3895518,33,18700005,158
00135,CIVIC CENTER,R9-CONDOPS,65,1915,112500,3487500,31,13395000,119
00135,CIVIC CENTER,R4-ELEVATOR,87,1910,217318,7606130,35,36400003,167
00136,CIVIC CENTER,R4-ELEVATOR,26,1900,50165,1555115,31,7450000,149
00137,TRIBECA,R4-ELEVATOR,12,1920,30062,931922,31,4459998,148
00140,TRIBECA,R4-ELEVATOR,83,1987,89377,3128195,35,14999999,168
00140,TRIBECA,R4-ELEVATOR,80,1988,66551,2329285,35,11199991,168
00141,TRIBECA,R4-ELEVATOR,30,1910,90000,3150000,35,15100000,168
00142,TRIBECA,R4-ELEVATOR,220,2006,535060,19262160,36,96599995,181
00142,TRIBECA,R4-ELEVATOR,311,2005,314373,11317428,36,56800017,181
00143,TRIBECA,R9-CONDOPS,13,1915,19882,616342,31,2820000,142
00144,TRIBECA,R4-ELEVATOR,12,1910,27928,865768,31,4150004,149
00145,CIVIC CENTER,R4-ELEVATOR,20,1920,24992,774752,31,3709996,148
00146,CIVIC CENTER,R4-ELEVATOR,21,1895,26050,807550,31,3870001,149
00147,CIVIC CENTER,R4-ELEVATOR,20,1915,35900,1112900,31,5329998,148
00147,CIVIC CENTER,R4-ELEVATOR,19,1915,45510,1410810,31,6760000,149
00171,CHINATOWN,R4-ELEVATOR,18,1915,20000,600000,30,2869998,143
00171,CHINATOWN,R4-ELEVATOR,12,1900,41204,1370000,33.2,6560001,159
00172,CHINATOWN,R4-ELEVATOR,163,1990,126500,4048001,32,19400011,153
00172,CHINATOWN,R4-ELEVATOR,11,1915,28500,860000,30.2,4120001,145
00173,CIVIC CENTER,R4-ELEVATOR,47,1900,132423,4767228,36,23899997,180
00173,CIVIC CENTER,R4-ELEVATOR,30,1920,89678,2690340,30,12900001,144
00175,CIVIC CENTER,R4-ELEVATOR,17,1860,32939,895000,27.2,4289999,130
00175,CIVIC CENTER,R4-ELEVATOR,24,1915,98891,3560000,36,17900000,181
